RunID,CheckSum,StepType,StepLabel,ChannelNumber,SampleIndex,CurveTime,CurvePressure,Weight
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,0,4,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,10,0,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,20,4,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,30,4,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,40,4,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,50,0,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,60,4,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,70,0,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,80,-92,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,90,-209,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,100,-322,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,110,-434,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,120,-546,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,130,-649,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,140,-747,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,150,-825,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,160,-908,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,170,-957,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,180,-991,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,190,-1005,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,200,-1005,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,210,-996,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,220,-976,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,230,-947,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,240,-927,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,250,-917,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,260,-917,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,270,-913,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,280,-903,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,290,-893,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,300,-888,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,310,-869,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,320,-864,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,330,-854,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,340,-854,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,350,-849,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,360,-844,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,370,-849,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,380,-854,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,390,-854,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,400,-844,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,410,-839,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,420,-839,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,430,-839,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,440,-834,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,450,-834,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,460,-839,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,470,-844,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,480,-839,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,490,-834,0.04013
